Place,Player,Age,Tm,Pos,Votes,Vote%,1st,2nd,3rd,4th,5th,G,A,PTS,PLUSMINUS,OPS,DPS,GPS,PS
1,Nicklas Lidstrom,40,DET,D,736,57.95,35,23,34,15,10,16,46,62,-2,6.2,3.3,0,9.5
2,Shea Weber,25,NSH,D,727,57.24,32,41,14,14,8,16,32,48,7,4.6,5.5,0,10.1
3,Zdeno Chara,33,BOS,D,688,54.17,33,24,24,20,10,14,30,44,33,4,6,0,10
4,Lubomir Visnovsky,34,ANA,D,573,45.12,20,20,26,28,19,18,50,68,18,7,5.8,0,12.8
5,Keith Yandle,24,PHX,D,312,24.57,5,10,17,25,32,11,48,59,12,5.4,4.5,0,9.9
6,Kris Letang,23,PIT,D,144,11.34,2,3,9,12,22,8,42,50,15,4.1,5.7,0,9.8
7,Dustin Byfuglien,25,ATL,D,33,2.6,0,2,1,3,5,20,33,53,-2,6,3.6,0,9.6
8,Christian Ehrhoff,28,VAN,D,28,2.2,0,0,1,6,5,14,36,50,19,4.8,5.6,0,10.4
9,Duncan Keith,27,CHI,D,24,1.89,0,1,1,3,3,7,38,45,-1,3.1,4.1,0,7.2
10,Drew Doughty,21,LAK,D,8,0.63,0,1,0,0,1,11,29,40,13,3.3,6.3,0,9.6
10,Chris Pronger,36,PHI,D,8,0.63,0,1,0,0,1,4,21,25,7,1.9,2.3,0,4.2
10,Matt Carle,26,PHI,D,8,0.63,0,1,0,0,1,1,39,40,30,2.5,5.2,0,7.7
12,Toni Lydman,33,ANA,D,3,0.24,0,0,0,1,0,3,22,25,32,1,6.4,0,7.4
12,Dan Boyle,34,SJS,D,3,0.24,0,0,0,0,3,9,41,50,2,4.1,4.2,0,8.3
15,Ryan Suter,26,NSH,D,2,0.16,0,0,0,0,2,4,35,39,20,2.7,5.8,0,8.5
16,Brian Campbell,31,CHI,D,1,0.08,0,0,0,0,1,5,22,27,28,1.8,5.2,0,6.9
16,Dan Hamhuis,28,VAN,D,1,0.08,0,0,0,0,1,6,17,23,29,1.5,5.5,0,7
16,Andrej Meszaros,25,PHI,D,1,0.08,0,0,0,0,1,8,24,32,30,2.5,5.1,0,7.5
16,Tyler Myers,20,BUF,D,1,0.08,0,0,0,0,1,10,27,37,0,3.1,3.4,0,6.5
16,Marc Staal,24,NYR,D,1,0.08,0,0,0,0,1,7,22,29,8,1.7,5.3,0,6.9
