Place,Player,Age,Tm,Pos,Votes,Vote%,1st,2nd,3rd,4th,5th,G,A,PTS,PLUSMINUS,OPS,DPS,GPS,PS
1,Nicklas Lidstrom,37,DET,D,1313,97.99,127,5,1,1,0,10,60,70,40,6.4,8.1,0,14.4
2,Dion Phaneuf,22,CGY,D,561,41.87,2,38,37,26,12,17,43,60,12,6.1,5.1,0,11.2
3,Zdeno Chara,30,BOS,D,486,36.27,3,38,23,21,12,17,34,51,14,5.1,5.4,0,10.5
4,Sergei Gonchar,33,PIT,D,370,27.61,1,24,21,21,24,12,53,65,13,6,5.2,0,11.1
5,Brian Campbell,28,TOT,D,333,24.85,1,18,16,31,24,8,54,62,8,5.1,4.9,0,10
6,Andrei Markov,29,MTL,D,156,11.64,0,4,15,11,20,16,42,58,1,5.8,4.1,0,9.9
7,Mike Green,22,WSH,D,84,6.27,0,1,7,10,12,18,38,56,6,6,4,0,10
8,Chris Pronger,33,ANA,D,56,4.18,0,2,5,5,2,12,31,43,-1,3.9,4.6,0,8.4
9,Brian Rafalski,34,DET,D,25,1.87,0,1,1,2,7,13,42,55,27,5.4,6.4,0,11.7
10,Scott Niedermayer,34,ANA,D,22,1.64,0,2,1,1,0,8,17,25,-2,2.3,2.7,0,5
11,Duncan Keith,24,CHI,D,19,1.42,0,0,2,0,9,12,20,32,30,2.5,6.2,0,8.7
12,Brent Burns,22,MIN,D,14,1.04,0,0,2,1,1,15,28,43,12,4.1,5.5,0,9.6
13,Mark Streit,30,MTL,D,11,0.82,0,1,0,1,1,13,49,62,-6,6.6,2.3,0,8.9
14,Mathieu Schneider,38,ANA,D,9,0.67,0,0,1,1,1,12,27,39,22,3.9,5.4,0,9.3
15,Ed Jovanovski,31,PHX,D,8,0.6,0,0,1,1,0,12,39,51,-13,4.8,3.1,0,7.9
16,Wade Redden,30,OTT,D,3,0.22,0,0,0,1,0,6,32,38,11,2.8,3.3,0,6.1
17,Joe Corvo,30,TOT,D,1,0.07,0,0,0,0,1,13,35,48,17,5.1,3.4,0,8.5
17,Jassen Cullimore,35,FLA,D,1,0.07,0,0,0,0,1,3,10,13,21,0.4,4.2,0,4.7
17,Tomas Kaberle,29,TOR,D,1,0.07,0,0,0,0,1,8,45,53,-8,4.3,3,0,7.3
17,Mike Komisarek,26,MTL,D,1,0.07,0,0,0,0,1,4,13,17,9,0.5,3.9,0,4.4
17,John-Michael Liles,27,COL,D,1,0.07,0,0,0,0,1,6,26,32,2,2.2,3.5,0,5.7
17,Andrej Meszaros,22,OTT,D,1,0.07,0,0,0,0,1,9,27,36,5,3,2.7,0,5.7
17,Kimmo Timonen,32,PHI,D,1,0.07,0,0,0,0,1,8,36,44,0,3.6,3.8,0,7.4
17,Shea Weber,22,NSH,D,1,0.07,0,0,0,0,1,6,14,20,-6,1.6,1.7,0,3.3
17,Sergei Zubov,37,DAL,D,1,0.07,0,0,0,0,1,4,31,35,6,2.9,3.1,0,6
